"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10202","Login with a valid data, but without an activated account / TC 4","firefox","Mon Mar 17 14:47:51 GMT 2025","passed","Mon Mar 17 14:48:01 GMT 2025","","test/login.spec.ts","",""
"","6702","Registration with valid data / TC 1","webkit","Mon Mar 17 14:48:22 GMT 2025","passed","Mon Mar 17 14:48:29 GMT 2025","Register","test/register.spec.ts","",""
"","11129","Registration with empty fields / TC 2","firefox","Mon Mar 17 14:47:56 GMT 2025","passed","Mon Mar 17 14:48:08 GMT 2025","Register","test/register.spec.ts","",""
"","13713","Password recovery with a valid email but without an activated account / TC 5","firefox","Mon Mar 17 14:47:55 GMT 2025","passed","Mon Mar 17 14:48:08 GMT 2025","","test/lostPassword.spec.ts","",""
"","5985","Registration with valid data but different passwords / TC 3","webkit","Mon Mar 17 14:48:24 GMT 2025","passed","Mon Mar 17 14:48:30 GMT 2025","Register","test/register.spec.ts","",""
"","3978","Login with a valid data, but without an activated account / TC 4","chromium","Mon Mar 17 14:47:46 GMT 2025","passed","Mon Mar 17 14:47:50 GMT 2025","","test/login.spec.ts","",""
"","2649","Registration with empty fields / TC 2","chromium","Mon Mar 17 14:47:46 GMT 2025","passed","Mon Mar 17 14:47:49 GMT 2025","Register","test/register.spec.ts","",""
"","7587","Password recovery with a valid email but without an activated account / TC 5","chromium","Mon Mar 17 14:47:46 GMT 2025","passed","Mon Mar 17 14:47:54 GMT 2025","","test/lostPassword.spec.ts","",""
"","3420","Login with a valid data, but without an activated account / TC 4","webkit","Mon Mar 17 14:48:20 GMT 2025","passed","Mon Mar 17 14:48:23 GMT 2025","","test/login.spec.ts","",""
"","6363","Registration with valid data but different passwords / TC 3","chromium","Mon Mar 17 14:47:49 GMT 2025","passed","Mon Mar 17 14:47:55 GMT 2025","Register","test/register.spec.ts","",""
"","8009","Registration with valid data but different passwords / TC 3","firefox","Mon Mar 17 14:48:05 GMT 2025","passed","Mon Mar 17 14:48:13 GMT 2025","Register","test/register.spec.ts","",""
"","3576","Registration with empty fields / TC 2","webkit","Mon Mar 17 14:48:23 GMT 2025","passed","Mon Mar 17 14:48:27 GMT 2025","Register","test/register.spec.ts","",""
"","13512","Registration with valid data / TC 1","firefox","Mon Mar 17 14:47:55 GMT 2025","passed","Mon Mar 17 14:48:09 GMT 2025","Register","test/register.spec.ts","",""
"","5613","Password recovery with a valid email but without an activated account / TC 5","webkit","Mon Mar 17 14:48:19 GMT 2025","passed","Mon Mar 17 14:48:24 GMT 2025","","test/lostPassword.spec.ts","",""
"","7588","Registration with valid data / TC 1","chromium","Mon Mar 17 14:47:46 GMT 2025","passed","Mon Mar 17 14:47:54 GMT 2025","Register","test/register.spec.ts","",""
