"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7150","Password recovery with a valid email but without an activated account / TC 5","chromium","Tue Mar 18 20:25:32 EET 2025","passed","Tue Mar 18 20:25:39 EET 2025","","test/lostPassword.spec.ts","",""
"","10048","Registration with valid data but different passwords / TC 3","firefox","Tue Mar 18 20:25:55 EET 2025","passed","Tue Mar 18 20:26:05 EET 2025","Register","test/register.spec.ts","",""
"","6834","Registration with valid data / TC 1","chromium","Tue Mar 18 20:25:32 EET 2025","passed","Tue Mar 18 20:25:39 EET 2025","Register","test/register.spec.ts","",""
"","15201","Login with a valid data, but without an activated account / TC 4","firefox","Tue Mar 18 20:25:38 EET 2025","passed","Tue Mar 18 20:25:54 EET 2025","","test/login.spec.ts","",""
"","14021","Registration with valid data / TC 1","firefox","Tue Mar 18 20:25:40 EET 2025","passed","Tue Mar 18 20:25:54 EET 2025","Register","test/register.spec.ts","",""
"","19234","Registration with valid data / TC 1","webkit","Tue Mar 18 20:26:00 EET 2025","passed","Tue Mar 18 20:26:19 EET 2025","Register","test/register.spec.ts","",""
"","20457","Password recovery with a valid email but without an activated account / TC 5","webkit","Tue Mar 18 20:25:59 EET 2025","passed","Tue Mar 18 20:26:20 EET 2025","","test/lostPassword.spec.ts","",""
"","15975","Password recovery with a valid email but without an activated account / TC 5","firefox","Tue Mar 18 20:25:40 EET 2025","passed","Tue Mar 18 20:25:56 EET 2025","","test/lostPassword.spec.ts","",""
"","8151","Registration with valid data but different passwords / TC 3","chromium","Tue Mar 18 20:25:37 EET 2025","passed","Tue Mar 18 20:25:45 EET 2025","Register","test/register.spec.ts","",""
"","20138","Registration with valid data but different passwords / TC 3","webkit","Tue Mar 18 20:26:16 EET 2025","passed","Tue Mar 18 20:26:36 EET 2025","Register","test/register.spec.ts","",""
"","4458","Registration with empty fields / TC 2","chromium","Tue Mar 18 20:25:32 EET 2025","passed","Tue Mar 18 20:25:36 EET 2025","Register","test/register.spec.ts","",""
"","17946","Registration with empty fields / TC 2","webkit","Tue Mar 18 20:26:07 EET 2025","passed","Tue Mar 18 20:26:25 EET 2025","Register","test/register.spec.ts","",""
"","17482","Login with a valid data, but without an activated account / TC 4","webkit","Tue Mar 18 20:25:59 EET 2025","passed","Tue Mar 18 20:26:16 EET 2025","","test/login.spec.ts","",""
"","10753","Registration with empty fields / TC 2","firefox","Tue Mar 18 20:25:46 EET 2025","passed","Tue Mar 18 20:25:57 EET 2025","Register","test/register.spec.ts","",""
"","5452","Login with a valid data, but without an activated account / TC 4","chromium","Tue Mar 18 20:25:32 EET 2025","passed","Tue Mar 18 20:25:37 EET 2025","","test/login.spec.ts","",""
